id,Class,BreedCount,Eyes,specialGenes,Ears,specialGenes,Back,specialGenes,Mouth,specialGenes,Horn,specialGenes,Tail,specialGenes,Date,Price,PriceUSD
9825068,Plant,3,confused,,lotus,,pumpkin,,serious,,cactus,,hot-butt,,2024-01-06 17:45:48,0.0014,3.15056
6142562,Plant,0,papi,,clover,,pumpkin,,serious,,arco,,yam,,2024-01-06 17:45:45,0.00135,3.03804
3261294,Beast,0,gero,,bubblemaker,,risky-beast,,cute-bunny,,clamshell,,rice,,2024-01-06 17:45:39,0.001789999999999999,4.028215999999998
428704,Plant,0,papi,,rosa,,turnip,,herbivore,,beech,,snake-jar,,2024-01-06 17:45:30,0.008,18.0032
11530080,Plant,0,telescope,,owl,,watering-can,,goda,,rose-bud,,carrot,,2024-01-06 17:45:27,0.001374,3.0920496
964376,Plant,3,confused,,lotus,,pumpkin,,tiny-turtle,,leaf-bug,,carrot,,2024-01-06 17:45:21,0.00135,3.03804
10915769,Dusk,4,mavis,,early-bird,,green-thorns,,tiny-turtle,,kestrel,,hot-butt,,2024-01-06 17:45:15,0.00525,11.8146
7470549,Plant,0,papi,,clover,,sandal,,serious,,leaf-bug,,carrot,,2024-01-06 17:44:48,0.00138,3.105552
9470491,Plant,1,papi,,clover,,bidens,,zigzag,,beech,,hot-butt,,2024-01-06 17:44:39,0.001709999999999999,3.848183999999998
2020997,Plant,0,confused,,gill,,watering-can,,serious,,cactus,,yam,,2024-01-06 17:44:36,0.0016,3.60064
11570356,Beast,3,chubby,,peace-maker,,tri-spikes,,axie-kiss,,teal-shell,,granmas-fan,,2024-01-06 17:44:24,0.001234,2.7769936
2898625,Beast,3,mavis,,early-bird,,ronin,,nut-cracker,,imp,,cottontail,,2024-01-06 17:44:21,0.00165,3.71316
9378714,Reptile,1,tricky,,ear-breathing,,bone-sail,,toothless-bite,,cerastes,,twin-tail,,2024-01-06 17:44:21,0.002828829444444445,6.365997781777779
9066206,Plant,3,papi,,rosa,,bone-sail,,serious,,leaf-bug,,yam,,2024-01-06 17:44:18,0.0014,3.15056
2930948,Aquatic,3,clear,,bubblemaker,,blue-moon,,risky-fish,,shoal-star,,koi,,2024-01-06 17:44:15,0.001463739745370371,3.293999922981483
11918346,Aquatic,3,gero,,nimo,,shiitake,,piranha,,anemone,,nimo,,2024-01-06 17:44:03,0.003,6.7512
5102149,Plant,0,lucas,,hollow,,hermit,,serious,,rose-bud,,carrot,,2024-01-06 17:42:57,0.0019,4.27576
11956017,Dawn,0,sleepless,,nimo,,sandal,,piranha,,trump,,nimo,,2024-01-06 17:42:54,0.021,47.2584
11945150,Dawn,5,sleepless,,nimo,,sandal,,square-teeth,,babylonia,,nimo,,2024-01-06 17:42:54,0.011366,25.5780464
8120487,Aquatic,3,telescope,,tiny-fan,,goldfish,,risky-fish,,dual-blade,,nimo,,2024-01-06 17:42:51,0.0019670606748,4.42667334256992
5074175,Plant,3,confused,,lotus,,pumpkin,,serious,,parasite,,cattail,,2024-01-06 17:42:39,0.008,18.0032
2366841,Aquatic,0,little-peas,,lotus,,goldfish,,risky-fish,,shoal-star,,koi,,2024-01-06 17:42:27,0.0015,3.3756
11779510,Mech,0,topaz,,innocent-lamb,,goldfish,,piranha,,arco,,nimo,,2024-01-06 17:42:00,0.001963451664774252,4.418551626407977
3179478,Plant,2,neo,,small-frill,,turnip,,serious,,leaf-bug,,cattail,,2024-01-06 17:41:36,0.0014743924832,3.31797284419328
10530608,Mech,0,sleepless,,seaslug,,pigeon-post,,square-teeth,,oranda,,hare,,2024-01-06 17:41:24,0.001654912037037038,3.72421404814815
1643352,Aquatic,3,telescope,,nimo,,perch,,toothless-bite,,oranda,,nimo,,2024-01-06 17:41:18,0.002678530259469494,6.027764495910149
6062071,Reptile,3,gecko,,belieber,,red-ear,,kotaro,,scaly-spoon,,iguana,,2024-01-06 17:41:00,0.001866621759184118,4.200645606867939
11194261,Plant,2,topaz,,lotus,,sandal,,goda,,beech,,cattail,,2024-01-06 17:40:48,0.00655,14.74012
2764593,Plant,0,papi,,clover,,pumpkin,,square-teeth,,cactus,,carrot,,2024-01-06 17:40:42,0.002,4.5008
5327635,Aquatic,3,clear,,nimo,,goldfish,,lam,,babylonia,,koi,,2024-01-06 17:40:24,0.001972441974895431,4.438783420304678
10007433,Aquatic,3,clear,,gill,,bidens,,risky-fish,,dual-blade,,nimo,,2024-01-06 17:39:33,0.00143005894,3.218204638576
969171,Plant,3,confused,,clover,,red-ear,,serious,,rose-bud,,hot-butt,,2024-01-06 17:39:33,0.002,4.5008
9131541,Dusk,0,chubby,,early-bird,,ronin,,nut-cracker,,imp,,nut-cracker,,2024-01-06 17:39:18,0.002,4.5008
3569864,Aquatic,3,gero,,nimo,,anemone,,piranha,,anemone,,snake-jar,,2024-01-06 17:39:12,0.003,6.7512
5861317,Aquatic,1,clear,,inkling,,goldfish,,risky-fish,,shoal-star,,koi,,2024-01-06 17:39:09,0.0014989,3.37312456
809008,Beast,3,zeal,,nut-cracker,,jaguar,,nut-cracker,,arco,,nut-cracker,,2024-01-06 17:38:57,0.00138,3.105552
6726831,Plant,3,tricky,,rosa,,red-ear,,serious,,beech,,carrot,,2024-01-06 17:38:33,0.0015,3.3756
11740347,Bug,0,nerdy,,innocent-lamb,,goldfish,,square-teeth,,oranda,,nimo,,2024-01-06 17:38:27,0.00145,3.26308
11913636,Bug,0,topaz,,gill,,timber,,square-teeth,,bumpy,,nimo,,2024-01-06 17:37:42,0.003049795524691359,6.863259848765434
10364332,Plant,5,confused,,clover,,bidens,,zigzag,,scaly-spoon,,gravel-ant,,2024-01-06 17:37:39,0.003158196580626856,7.107205585042677
9124924,Plant,0,papi,,clover,,pumpkin,,serious,,leaf-bug,,hot-butt,,2024-01-06 17:37:33,0.00195,4.38828
11931941,Beast,2,chubby,,earwing,,buzz-buzz,,confident,,dual-blade,,gerbil,,2024-01-06 17:37:15,0.00529,11.904616
539966,Plant,5,papi,,hollow,,pumpkin,,serious,,leaf-bug,,hatsune,,2024-01-06 17:37:06,0.00148,3.330592
1144858,Aquatic,2,telescope,,inkling,,goldfish,,risky-fish,,wing-horn,,nimo,,2024-01-06 17:36:42,0.001374,3.0920496
9225104,Aquatic,5,little-owl,,nimo,,anemone,,goda,,anemone,,nimo,,2024-01-06 17:36:42,0.0028,6.30112
4866436,Aquatic,0,sleepless,,inkling,,goldfish,,catfish,,anemone,,nimo,,2024-01-06 17:36:33,0.001513240753056432,3.405396990678195
25754,Bird,5,zeal,,sidebarb,,anemone,,doubletalk,,rose-bud,,hare,,2024-01-06 17:36:12,0.003545454545454545,7.978690909090908
9984456,Plant,0,confused,,peace-maker,,buzz-buzz,,serious,,cactus,,cattail,,2024-01-06 17:35:39,0.002330717379747771,5.245046391384384
11945686,Mech,3,sleepless,,nimo,,sandal,,square-teeth,,oranda,,nimo,,2024-01-06 17:35:33,0.0255,57.3852
9013588,Aquatic,4,clear,,inkling,,goldfish,,lam,,babylonia,,koi,,2024-01-06 17:35:18,0.001787581336041593,4.022773038628001
5780057,Aquatic,4,clear,,gill,,goldfish,,risky-fish,,shoal-star,,nimo,,2024-01-06 17:35:06,0.00174,3.915696
1790812,Aquatic,2,bookworm,,clover,,goldfish,,risky-fish,,kestrel,,koi,,2024-01-06 17:34:42,0.001381,3.1078024
3716703,Aquatic,0,zeal,,bubblemaker,,tri-spikes,,risky-fish,,oranda,,koi,,2024-01-06 17:34:33,0.0013875,3.12243
9872951,Bird,5,mavis,,pink-cheek,,pigeon-post,,doubletalk,,eggshell,,post-fight,,2024-01-06 17:34:30,0.005,11.252
6800173,Plant,1,confused,,seaslug,,pumpkin,,serious,,cactus,,carrot,,2024-01-06 17:34:12,0.0014,3.15056
11346209,Dusk,2,scar,,small-frill,,sandal,,goda,,scaly-spear,,cattail,,2024-01-06 17:34:09,0.01,22.504
653787,Plant,0,lucas,,zen,,turnip,,tiny-turtle,,clamshell,,snake-jar,,2024-01-06 17:33:42,0.0014,3.15056
11934744,Dawn,4,sleepless,,nimo,,sandal,,piranha,,trump,,nimo,,2024-01-06 17:33:18,0.01369,30.807976
7730172,Aquatic,4,gero,,gill,,anemone,,piranha,,anemone,,nimo,,2024-01-06 17:33:15,0.002,4.5008
5075175,Beast,2,blossom,,sakura,,ronin,,nut-cracker,,incisor,,nut-cracker,,2024-01-06 17:32:45,0.001374277296992651,3.092673629152262
11745467,Reptile,1,papi,,leafy,,tri-spikes,,tiny-turtle,,incisor,,carrot,,2024-01-06 17:32:30,0.0025,5.626
11619444,Reptile,2,gecko,,small-frill,,green-thorns,,silence-whisper,,scaly-spoon,,yam,,2024-01-06 17:31:57,0.009,20.2536
603515,Bird,3,scar,,owl,,raven,,hungry-bird,,eggshell,,granmas-fan,,2024-01-06 17:30:42,0.00173,3.893192
8515483,Aquatic,0,telescope,,peace-maker,,balloon,,doubletalk,,clamshell,,koi,,2024-01-06 17:30:12,0.001985,4.467044
10571137,Aquatic,3,sleepless,,inkling,,goldfish,,risky-fish,,pocky,,nimo,,2024-01-06 17:30:00,0.0017,3.82568
7012777,Mech,4,lucas,,nut-cracker,,ronin,,goda,,dual-blade,,nut-cracker,,2024-01-06 17:29:48,0.002,4.5008
11730571,Mech,4,topaz,,innocent-lamb,,raven,,hungry-bird,,shoal-star,,cottontail,,2024-01-06 17:29:33,0.002,4.5008
11780643,Mech,0,topaz,,leafy,,garish-worm,,mosquito,,bamboo-shoot,,hot-butt,,2024-01-06 17:28:33,0.00137,3.083048
11945452,Aquatic,4,sleepless,,nimo,,sandal,,square-teeth,,babylonia,,nimo,,2024-01-06 17:28:27,0.021,47.2584
6239216,Plant,2,papi,,leafy,,scarab,,serious,,cactus,,snake-jar,,2024-01-06 17:28:27,0.001492788194444445,3.359370552777779
11943282,Aquatic,0,kotaro,,larva,,hero,,lam,,wing-horn,,granmas-fan,,2024-01-06 17:28:24,0.001424074074074075,3.204736296296298
7569894,Dusk,2,clear,,bubblemaker,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 17:28:12,0.00175,3.9382
8213906,Plant,3,confused,,hollow,,pumpkin,,zigzag,,leaf-bug,,hot-butt,,2024-01-06 17:27:51,0.001584137107743037,3.56494214726493
6851453,Plant,0,little-owl,,owl,,garish-worm,,serious,,leaf-bug,,gila,,2024-01-06 17:27:39,0.001909999999,4.2982639977496
11923582,Dusk,0,telescope,,inkling,,balloon,,tiny-turtle,,scaly-spear,,hatsune,,2024-01-06 17:27:30,0.0022,4.95088
6665134,Aquatic,3,mavis,,nimo,,anemone,,tiny-turtle,,anemone,,gerbil,,2024-01-06 17:27:27,0.001485149305555556,3.342179997222223
11955356,Aquatic,3,sleepless,,seaslug,,anemone,,lam,,anemone,,nimo,,2024-01-06 17:27:18,0.0149,33.53096
1235193,Aquatic,4,telescope,,tiny-fan,,goldfish,,risky-fish,,shoal-star,,koi,,2024-01-06 17:27:18,0.001742020855100223,3.920243732317542
11938718,Dawn,3,sleepless,,nimo,,sandal,,piranha,,trump,,nimo,,2024-01-06 17:27:12,0.01349,30.357896
11166089,Dusk,0,lucas,,gill,,garish-worm,,tiny-turtle,,wing-horn,,gravel-ant,,2024-01-06 17:27:12,0.001653193988878441,3.720347752572044
11875040,Aquatic,0,sleepless,,nimo,,goldfish,,little-owl,,arco,,nimo,,2024-01-06 17:26:54,0.0015989,3.59816456
2277779,Plant,2,puppy,,sakura,,red-ear,,serious,,cactus,,carrot,,2024-01-06 17:50:39,0.00128,2.880512
11873795,Reptile,1,neo,,inkling,,garish-worm,,goda,,parasite,,tadpole,,2024-01-06 17:51:00,0.004,9.00988
3796605,Plant,2,papi,,nyan,,shiitake,,nut-cracker,,leaf-bug,,grass-snake,,2024-01-06 17:50:48,0.00135,3.0408345
963925,Plant,2,papi,,clover,,pumpkin,,serious,,rose-bud,,carrot,,2024-01-06 17:51:09,0.0014,3.153458
9206037,Dusk,3,mavis,,nut-cracker,,garish-worm,,tiny-turtle,,wing-horn,,grass-snake,,2024-01-06 17:52:00,0.003739375,8.4150895
7722450,Plant,3,papi,,lotus,,pumpkin,,serious,,rose-bud,,carrot,,2024-01-06 17:52:06,0.0014,3.15056
11685237,Reptile,4,gecko,,small-frill,,green-thorns,,tiny-turtle,,scaly-spoon,,snake-jar,,2024-01-06 17:52:03,0.0062,13.95248
11050270,Bug,1,bookworm,,nyan,,scarab,,pincer,,parasite,,hatsune,,2024-01-06 17:52:33,0.005,11.252
9515866,Plant,0,papi,,small-frill,,watering-can,,serious,,cactus,,gerbil,,2024-01-06 17:53:00,0.00135,3.0375675
9511945,Dusk,4,little-owl,,owl,,bidens,,zigzag,,arco,,hot-butt,,2024-01-06 17:52:54,0.005,11.25025
10618564,Bug,3,neo,,peace-maker,,scarab,,pincer,,parasite,,fish-snack,,2024-01-06 17:53:54,0.0028,6.30014
11911764,Aquatic,4,telescope,,tiny-fan-2,,spiky-wing,,piranha,,bumpy,,koi,,2024-01-06 17:54:15,0.008,18.0004
3961206,Plant,0,papi,,clover,,pumpkin,,serious,,babylonia,,potato-leaf,,2024-01-06 17:54:33,0.00156,3.510078
1377531,Beast,0,mavis,,nut-cracker,,ronin,,lam,,imp,,koi,,2024-01-06 17:54:24,0.00135,3.0375675
1761405,Beast,3,scar,,larva,,risky-beast,,goda,,dual-blade,,cottontail,,2024-01-06 17:54:21,0.0025,5.625125
643845,Beast,0,telescope,,nyan,,spiky-wing,,nut-cracker,,imp,,nut-cracker,,2024-01-06 17:54:45,0.00135,3.0375675
11412383,Bird,4,topaz,,coca,Summer2022,beach-ball,Summer2022,toothless-bite,,imp,,cotton-candy,Summer2022,2024-01-06 17:54:36,0.009,20.25045
7810946,Aquatic,2,telescope,,bubblemaker,,goldfish,,risky-fish,,oranda,,shrimp,,2024-01-06 17:55:57,0.001850512100483862,4.163744751693714
9468134,Dusk,3,sleepless,,belieber,,garish-worm,,tiny-turtle,,wing-horn,,grass-snake,,2024-01-06 17:56:33,0.0045,10.125225
10519873,Plant,2,confused,,hollow,,bidens,,zigzag,,little-branch,,hot-butt,,2024-01-06 17:56:27,0.0019,4.275095
5109175,Reptile,3,tricky,,nimo,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 17:56:48,0.00128,2.8789632
11899865,Dusk,0,puppy,,hollow,,anemone,,lam,,anemone,,nimo,,2024-01-06 17:56:42,0.005,11.24595
1871500,Reptile,4,scar,,owl,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 17:57:06,0.002401131294083817,5.40060049534038
4986577,Plant,2,papi,,hollow,,pumpkin,,serious,,cactus,,yam,,2024-01-06 17:57:03,0.00128,2.8789632
7066076,Reptile,1,telescope,,bubblemaker,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 17:56:57,0.00179,4.0260501
5410241,Reptile,3,clear,,bubblemaker,,snail-shell,,tiny-turtle,,beech,,thorny-caterpillar,,2024-01-06 17:57:21,0.0014,3.148866
11905926,Reptile,2,clear,,nimo,,sponge,,square-teeth,,anemone,,nimo,,2024-01-06 17:57:15,0.00544,12.2355936
6264906,Bird,0,mavis,,pink-cheek,,ronin,,doubletalk,,arco,,post-fight,,2024-01-06 17:57:15,0.0075,16.868925
11924724,Dusk,0,papi,,inkling,,kingfisher,,doubletalk,,cactus,,tadpole,,2024-01-06 17:57:12,0.002342128708674235,5.267892470263003
1944011,Plant,3,papi,,clover,,mint,,serious,,leaf-bug,,wall-gecko,,2024-01-06 17:57:12,0.00565,12.7079235
10631693,Aquatic,0,clear,,inkling,,blue-moon,,lam,,oranda,,nimo,,2024-01-06 17:57:09,0.002044,4.59734436
11133525,Plant,4,confused,,leafy,,sandal,,goda,,beech,,cattail,,2024-01-06 17:57:51,0.007,15.74741
11925033,Dawn,0,sleepless,,nimo,,sandal,,square-teeth,,kestrel,,nimo,,2024-01-06 17:57:42,0.00689,15.4999507
11954235,Aquatic,0,chubby,,nimo,,sandal,,piranha,,babylonia,,nimo,,2024-01-06 17:57:42,0.0062,13.947706
11707468,Beast,3,neo,,owl,,pigeon-post,,little-owl,,feather-spear,,feather-fan,,2024-01-06 17:58:42,0.002,4.49926
2675591,Plant,4,papi,,leafy,,pumpkin,,serious,,leaf-bug,,yam,,2024-01-06 17:58:54,0.0016,3.598704
965063,Plant,2,papi,,clover,,pumpkin,,serious,,cactus,,pupae,,2024-01-06 17:59:27,0.003,6.74757
6433779,Plant,2,cucumber-slice,,clover,,pumpkin,,pincer,,rose-bud,,yam,,2024-01-06 17:59:48,0.003666165123456791,8.24590193402778
11899664,Reptile,0,scar,,leafy,,blue-moon,,kotaro,,bamboo-shoot,,granmas-fan,,2024-01-06 17:59:45,0.003,6.74757
7531330,Plant,0,papi,,owl,,pumpkin,,serious,,cactus,,carrot,,2024-01-06 18:00:21,0.0015,3.373785
9700375,Mech,3,chubby,,leafy,,ronin,,nut-cracker,,imp,,nut-cracker,,2024-01-06 18:00:15,0.001515802754069948,3.409328396426586
11083503,Mech,0,bookworm,,small-frill,,turnip,,goda,,arco,,hare,,2024-01-06 18:00:36,0.0014,3.148866
1855159,Mech,3,chubby,,nyan,,ronin,,tiny-turtle,,pocky,,thorny-caterpillar,,2024-01-06 18:00:57,0.0014,3.148866
3020569,Plant,4,papi,,clover,,watering-can,,serious,,leaf-bug,,carrot,,2024-01-06 18:01:12,0.00128,2.8789632
390267,Beast,4,chubby,,nyan,,ronin,,nut-cracker,,imp,,gerbil,,2024-01-06 18:01:18,0.001717862113846004,3.863798287841294
11696504,Mech,0,nerdy,,leaf-bug,,hero,,axie-kiss,,scaly-spear,,feather-fan,,2024-01-06 18:01:15,0.0014,3.148866
10427631,Mech,0,little-owl,,lotus,,hero,,confident,,arco,,carrot,,2024-01-06 18:01:42,0.0014,3.148866
11698459,Dawn,3,tricky,,innocent-lamb,,snail-shell,,pincer,,lagging,,hare,,2024-01-06 18:01:42,0.01,22.4919
6222705,Aquatic,2,clear,,bubblemaker,,buzz-buzz,,risky-fish,,little-branch,,koi,,2024-01-06 18:01:36,0.004032156523494227,9.06908613107798
11954557,Aquatic,3,little-owl,,owl,,tri-feather,,little-owl,,trump,,feather-fan,,2024-01-06 18:02:09,0.009821763888888889,22.10771011986111
11167174,Mech,0,mavis,,curly,,bidens,,toothless-bite,,arco,,grass-snake,,2024-01-06 18:02:21,0.0014,3.151246
11678118,Aquatic,0,little-owl,,small-frill,,tri-feather,,little-owl,,feather-spear,,feather-fan,,2024-01-06 18:02:45,0.0039,8.778471
2020852,Plant,0,papi,,rosa,,watering-can,,serious,,beech,,yam,,2024-01-06 18:03:18,0.0018,4.051278
9957054,Bug,4,zeal,,larva,,snail-shell,,pincer,,parasite,,fish-snack,,2024-01-06 18:03:18,0.002071041666666667,4.661314189583334
11861294,Bug,0,topaz,,innocent-lamb,,garish-worm,,square-teeth,,babylonia,,cottontail,,2024-01-06 18:03:18,0.00246,5.5367466
1118052,Beast,4,chubby,,nyan,,ronin,,goda,,imp,,rice,,2024-01-06 18:03:30,0.002,4.50142
2964666,Beast,4,chubby,,nyan,,ronin,,axie-kiss,,imp,,cottontail,,2024-01-06 18:03:21,0.001739,3.91398469
8939083,Reptile,3,blossom,,clover,,snail-shell,,cute-bunny,,lagging,,thorny-caterpillar,,2024-01-06 18:03:42,0.0015,3.376065
6106295,Plant,3,cucumber-slice,,lotus,,tri-spikes,,serious,,rose-bud,,carrot,,2024-01-06 18:04:00,0.00136411215138282,3.070220860238827
11626434,Plant,3,papi,,clover,,mint,,doubletalk,,cactus,,hatsune,,2024-01-06 18:04:15,0.0049,11.028479
2759809,Plant,2,confused,,clover,,pumpkin,,hungry-bird,,cactus,,carrot,,2024-01-06 18:04:27,0.00136467988425926,3.071498662301159
10665113,Dusk,0,little-owl,,risky-bird,,green-thorns,,tiny-turtle,,kestrel,,hot-butt,,2024-01-06 18:04:21,0.0048,10.803408
6731452,Dusk,2,clear,,bubblemaker,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 18:04:48,0.0018,4.051278
7494520,Aquatic,0,gero,,inkling,,anemone,,axie-kiss,,oranda,,nimo,,2024-01-06 18:04:45,0.00131,2.9484301
6417055,Plant,3,cucumber-slice,,seaslug,,pumpkin,,serious,,leaf-bug,,carrot,,2024-01-06 18:05:00,0.001379612996708318,3.103315270925658
4067379,Plant,3,blossom,,curly,,pumpkin,,serious,,little-branch,,carrot,,2024-01-06 18:05:15,0.001387844902624531,3.121832202412646
11857183,Beast,0,little-peas,,leafy,,hero,,piranha,,little-branch,,shrimp,,2024-01-06 18:05:36,0.00189999999999999,4.273878999999978
11296327,Dusk,2,chubby,,sakura,,sandal,,goda,,cactus,,cattail,,2024-01-06 18:05:48,0.006,13.49646
2617680,Plant,0,papi,,clover,,bone-sail,,razor-bite,,cactus,,carrot,,2024-01-06 18:05:45,0.0014,3.149174
10008021,Plant,0,topaz,,sakura,,pumpkin,,zigzag,,cactus,,carrot,,2024-01-06 18:05:39,0.001573838530555556,3.540208129016973
2511049,Aquatic,2,clear,,gill,,goldfish,,risky-fish,,incisor,,nimo,,2024-01-06 18:06:03,0.0017499,3.940039842
11742328,Bug,3,topaz,,innocent-lamb,,scarab,,square-teeth,,unko,,nimo,,2024-01-06 18:06:51,0.00136,3.0621488
223098,Aquatic,4,telescope,,inkling,,goldfish,,risky-fish,,shoal-star,,navaga,,2024-01-06 18:06:48,0.00164,3.6925912
9522059,Dusk,4,mavis,,gill,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 18:06:42,0.0019,4.278002
1174937,Plant,4,blossom,,lotus,,pumpkin,,serious,,leaf-bug,,carrot,,2024-01-06 18:06:39,0.00121,2.7244118
10789444,Bug,4,zeal,,inkling,,sandal,,pincer,,parasite,,fish-snack,,2024-01-06 18:06:57,0.002,4.50142
7109148,Reptile,2,scar,,curved-spine,,indian-star,,toothless-bite,,incisor,,iguana,,2024-01-06 18:06:54,0.002734829559027778,6.15530823679941
9613348,Bug,3,little-peas,,ear-breathing,,buzz-buzz,,pincer,,parasite,,fish-snack,,2024-01-06 18:07:12,0.002,4.50142
11622750,Bird,0,mavis,,friezard,,tri-feather,,pincer,,kestrel,,granmas-fan,,2024-01-06 18:07:33,0.0021,4.726491
2381933,Plant,2,papi,,pink-cheek,,pumpkin,,zigzag,,rose-bud,,carrot,,2024-01-06 18:07:30,0.0014,3.150994
6480694,Aquatic,0,sleepless,,bubblemaker,,furball,,toothless-bite,,arco,,hare,,2024-01-06 18:07:42,0.003,6.74676
7751672,Bird,2,mavis,,peace-maker,,perch,,doubletalk,,eggshell,,post-fight,,2024-01-06 18:08:09,0.001441747259369321,3.242374246540853
2357040,Plant,1,papi,,lotus,,spiky-wing,,serious,,cactus,,carrot,,2024-01-06 18:07:57,0.00147040625,3.30682602375
11674539,Bug,0,gecko,,gill,,blue-moon,,hungry-bird,,oranda,,navaga,,2024-01-06 18:08:24,0.00175989,3.9578518188
1432147,Plant,2,papi,,clover,,pumpkin,,herbivore,,rose-bud,,cattail,,2024-01-06 18:08:24,0.002858410940999658,6.428337533432951
3366665,Plant,4,papi,,lotus,,pumpkin,,serious,,leaf-bug,,yam,,2024-01-06 18:08:18,0.002,4.49784
11670737,Plant,4,papi,,innocent-lamb,,risky-beast,,hungry-bird,,dual-blade,,cottontail,,2024-01-06 18:08:27,0.001726930260938623,3.883728002430088
6800486,Aquatic,3,sleepless,,inkling,,perch,,risky-fish,,babylonia,,nimo,,2024-01-06 18:08:51,0.005,11.2403
1539382,Plant,3,papi,,clover,,pumpkin,,pincer,,cactus,,carrot,,2024-01-06 18:08:57,0.002,4.49612
11342016,Aquatic,0,telescope,,bubblemaker,,balloon,,piranha,,oranda,,potato-leaf,,2024-01-06 18:09:24,0.00140859750621266,3.166611709816432
4799990,Reptile,4,telescope,,bubblemaker,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 18:09:12,0.002,4.49612
3737143,Beast,1,chubby,,nyan,,ronin,,nut-cracker,,oranda,,tadpole,,2024-01-06 18:10:09,0.0014,3.147284
2358398,Aquatic,2,clear,,inkling,,goldfish,,hungry-bird,,babylonia,,nimo,,2024-01-06 18:10:00,0.001621172965370871,3.64449409653164
11940285,Bug,0,sleepless,,small-frill,,sandal,,axie-kiss,,babylonia,,nimo,,2024-01-06 18:10:00,0.0025,5.62015
11956010,Aquatic,0,clear,,inkling,,goldfish,,lam,,shoal-star,,gila,,2024-01-06 18:10:27,0.001430911935160102,3.216775884956019
11634252,Dawn,4,bookworm,,earwing,,tri-feather,,square-teeth,,wing-horn,,granmas-fan,,2024-01-06 18:10:15,0.005,11.2403
7460084,Plant,0,tricky,,leafy,,scarab,,serious,,cactus,,hot-butt,,2024-01-06 18:10:45,0.0015,3.37338
7357344,Plant,2,cucumber-slice,,clover,,mint,,serious,,rose-bud,,hatsune,,2024-01-06 18:11:51,0.0049,11.015494
